internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
64324425,Schoenoplectiella purshiana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectiella,purshiana,,,,,(Fernald) Lye,
64324795,Schoenoplectiella saximontana,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectiella,saximontana,,,,,(Fernald),
64324800,Schoenoplectiella smithii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectiella,smithii,,,,,(A.Gray) Hayas.,
64324813,Schoenoplectus acutus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectus,acutus,,,,,(Muhl. ex Bigelow) Á.Löve &amp; D.Löve,
64324817,Schoenoplectus americanus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectus,americanus,,,,,(Pers.) Volk. ex Schinz &amp; R. Keller,
64324821,Schoenoplectus heterochaetus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectus,heterochaetus,,,,,(Chase) Soják,
64324832,Schoenoplectus subterminalis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectus,subterminalis,,,,,(Torr.) Sojak,
64324837,Schoenoplectus torreyi,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Schoenoplectus,torreyi,,,,,(Olney) Palla,
64324851,Scirpus ancistrochaetus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,ancistrochaetus,,,,,Schuyler,
64324856,Scirpus atrocinctus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,atrocinctus,,,,,Fern.,
64324859,Scirpus atrovirens,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,atrovirens,,,,,Willd.,
64324862,Scirpus cyperinus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,cyperinus,,,,,(L.) Kunth,
64324865,Scirpus expansus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,expansus,,,,,Fern.,
64324870,Scirpus georgianus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,georgianus,,,,,Harper,
64324874,Scirpus hattorianus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,hattorianus,,,,,Makino,
64324877,Scirpus longii,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,longii,,,,,Fern.,
64324880,Scirpus microcarpus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,microcarpus,,,,,J.&amp; C. Presl,
64324883,Scirpus pallidus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,pallidus,,,,,(Britt.) Fern.,
64324886,Scirpus pedicellatus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,pedicellatus,,,,,Fern.,
64324889,Scirpus pendulus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scirpus,pendulus,,,,,Muhl.,
64324892,Scleria verticillata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,CYPERACEAE,Scleria,verticillata,,,,,Muhl. ex Willd.,
64324897,Scutellaria lateriflora,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,LAMIALES,LAMIACEAE,Scutellaria,lateriflora,,,,,L.,
64324900,Senecio hydrophilus,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Senecio,hydrophilus,,,,,Nutt.,
64324910,Sium suave,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,APIALES,APIACEAE,Sium,suave,,,,,Walt.,
64325060,Solidago houghtonii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Solidago,houghtonii,,,,,Torr. &amp; A.Gray,
64325065,Solidago latissimifolia,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Solidago,latissimifolia,,,,,P. Mill.,
64325073,Solidago ohioensis,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Solidago,ohioensis,,,,,Riddell,
64325076,Solidago patula,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Solidago,patula,,,,,Muhl. ex Willd.,
64325079,Solidago riddellii,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Solidago,riddellii,,,,,Frank ex Riddell,
64325083,Solidago uliginosa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Solidago,uliginosa,,,,,Nutt.,
64325105,Sparganium americanum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,TYPHACEAE,Sparganium,americanum,,,,,Nutt.,
64325108,Sparganium androcladum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,TYPHACEAE,Sparganium,androcladum,,,,,(Engelm.) Morong,
64325114,Sparganium eurycarpum,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,TYPHACEAE,Sparganium,eurycarpum,,,,,Engelm. ex Gray,
64325118,Sparganium fluctuans,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,TYPHACEAE,Sparganium,fluctuans,,,,,(Engelm.) B.L. Robins.,
64325157,Spartina gracilis,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Spartina,gracilis,,,,,Trin.,
64325161,Spartina pectinata,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Spartina,pectinata,,,,,Link,
64325183,Stellaria calycantha,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CARYOPHYLLACEAE,Stellaria,calycantha,,,,,(Ledeb.) Bong.,
64325204,Stellaria humifusa,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,CARYOPHYLLALES,CARYOPHYLLACEAE,Stellaria,humifusa,,,,,Rottb.,
64325262,Symphyotrichum boreale,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Symphyotrichum,boreale,,,,,(Torr. &amp; Gray) A. &amp; D. Löve,
64325267,Symphyotrichum ciliatum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Symphyotrichum,ciliatum,,,,,(Ledeb.) G.L.Nesom,
64325281,Symphyotrichum lanceolatum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Symphyotrichum,lanceolatum,,,,,(Willd.) Nesom,
64325296,Symphyotrichum praealtum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Symphyotrichum,praealtum,,,,,(Poir.) Nesom,
64325300,Symphyotrichum puniceum,PLANTAE,TRACHEOPHYTA,MAGNOLIOPSIDA,ASTERALES,ASTERACEAE,Symphyotrichum,puniceum,,,,,(L.) A.&amp; D. Löve,
64325342,Symplocarpus foetidus,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,ALISMATALES,ARACEAE,Symplocarpus,foetidus,,,,,(L.) Salisb. ex Nutt.,
64325345,Torreyochloa pallida,PLANTAE,TRACHEOPHYTA,LILIOPSIDA,POALES,POACEAE,Torreyochloa,pallida,,,,,(Torr.) Church,
